%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143894070475000,4682,-3113,-525,43893.63671875
1683143894070505800,4682,-3113,-354,43893.6484375
1683143894070679900,4682,-3113,-1685,43893.65625
1683143894070692300,4682,-3113,-1021,43893.66796875
1683143894071362100,4682,-3113,-773,43893.67578125
1683143894131032800,4682,-3113,-1554,43893.6875
1683143894131116600,4682,-3113,-1786,43893.69921875
1683143894131265600,4683,-3113,397,43893.7109375
1683143894131297000,4682,-3113,441,43893.71875
1683143894186173500,4683,-3113,-714,43893.73046875
1683143894186199700,4683,-3113,-1278,43893.73828125
1683143894186205100,4683,-3113,1981,43893.74609375
1683143894186231700,4683,-3113,461,43893.7578125
1683143894186262800,4683,-3113,1245,43893.76953125
1683143894186274400,4683,-3113,-2482,43893.77734375
1683143894186568600,4683,-3113,-190,43893.7890625
1683143894249720100,4683,-3113,1189,43893.796875
1683143894249773800,4683,-3113,-662,43893.80859375
1683143894249800600,4683,-3113,-290,43893.81640625
1683143894249984100,4683,-3113,-1914,43893.828125
1683143894250081600,4683,-3113,761,43893.8359375
1683143894250502700,4683,-3113,-1818,43893.84765625
1683143894250776100,4683,-3113,2109,43893.85546875
1683143894305637600,4683,-3113,-1306,43893.8671875
1683143894305680200,4683,-3113,-1238,43893.87890625
1683143894305862300,4683,-3113,-1446,43893.890625
1683143894305894900,4683,-3113,1929,43893.8984375
1683143894305905200,4683,-3113,-2366,43893.90625
1683143894364511400,4683,-3113,1349,43893.91796875
1683143894364553500,4683,-3113,-1718,43893.92578125
1683143894364566800,4683,-3113,-158,43893.9375
1683143894364729000,4683,-3113,2093,43893.953125
1683143894364934500,4683,-3113,1633,43893.95703125
1683143894364951300,4683,-3113,-1582,43893.96875
1683143894415657800,4683,-3113,-374,43893.98046875
1683143894415747400,4683,-3113,-1186,43893.98828125
1683143894415762800,4683,-3113,-90,43893.99609375
1683143894415772000,4683,-3113,297,43894.0078125
1683143894415776300,4683,-3113,-798,43894.015625
1683143894475362500,4683,-3113,1793,43894.02734375
1683143894475414500,4683,-3113,-70,43894.03515625
1683143894475462700,4683,-3113,-330,43894.046875
1683143894475570200,4683,-3113,161,43894.05859375
1683143894475694200,4683,-3113,-2102,43894.06640625
1683143894475779600,4683,-3113,2365,43894.078125
1683143894521926500,4683,-3113,1249,43894.0859375
1683143894521978200,4683,-3113,-150,43894.09765625
1683143894521992800,4683,-3113,689,43894.10546875
1683143894522024100,4683,-3113,1402,43894.1171875
1683143894522034800,4683,-3113,-406,43894.12890625
