%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-1.031494141,-0.477294922,-0.577148438,5.083969466,2.427480916,12.42748092,0,0,9886.700032
1.67607E+18,-0.812988281,-0.494628906,-0.632324219,5.709923664,0.770992366,11.90839695,0,0,9886.72
1.67607E+18,-0.669189453,-0.781738281,-0.504638672,4.381679389,-0.93129771,11.63358779,0,0,9886.739968
1.67607E+18,-0.794921875,-0.747558594,-0.432128906,1.969465649,-0.007633588,12.13740458,0,0,9886.750208
1.67607E+18,-1.040039063,-0.088867188,-0.433349609,1.465648855,-1.72519084,12.35877863,0,0,9886.750208
1.67607E+18,-1.142578125,0.844482422,-0.390136719,3.870229008,-1.053435115,12.15267176,0,0,9886.790144
1.67607E+18,-1.158935547,1.207763672,-0.317138672,6.65648855,-0.595419847,10.8778626,0,0,9886.83008
1.67607E+18,-1.038085938,0.549804688,-0.252929688,6.603053435,-0.381679389,9.34351145,0,0,9886.88
1.67607E+18,-0.872070313,-0.064941406,-0.205566406,4.061068702,-1.091603053,8.114503817,0,0,9886.889984
1.67607E+18,-0.974365234,-0.3671875,-0.099609375,0.259541985,-1.877862595,7.687022901,0,0,9886.950144
1.67607E+18,-0.944335938,-0.032958984,0.06640625,-3.183206107,-2.893129771,7.633587786,0,0,9886.960128
1.67607E+18,-0.954589844,0.265625,0.202636719,-3.450381679,-2.908396947,6.877862595,0,0,9887.000064
1.67607E+18,-1.00390625,0.264892578,0.202148438,-3.358778626,-2.687022901,5.480916031,0,0,9887.000064
1.67607E+18,-0.954589844,0.210205078,0.069824219,-2.969465649,-2.190839695,3.816793893,0,0,10021.28998
1.67607E+18,-0.963867188,0.105224609,0.035400391,-2,-1.877862595,2.625954198,0,0,10021.31021
1.67607E+18,-0.994384766,-0.069580078,0.006103516,-0.992366412,-1.717557252,2.213740458,0,0,10021.32019
1.67607E+18,-0.966064453,-0.191162109,-0.018310547,-0.717557252,-1.564885496,2.335877863,0,0,10021.3801
1.67607E+18,-0.943603516,-0.333740234,-0.070800781,-1.183206107,-1.778625954,2.534351145,0,0,10021.43002
1.67607E+18,-0.949951172,-0.314697266,-0.107177734,-1.580152672,-1.847328244,2.839694656,0,0,10021.44
1.67607E+18,-0.945556641,-0.235595703,-0.107421875,-1.65648855,-1.854961832,3.053435115,0,0,10021.49018
1.67607E+18,-0.941162109,-0.185791016,-0.109375,-1.335877863,-1.72519084,3.061068702,0,0,10021.50016
1.67607E+18,-0.947753906,-0.177490234,-0.106445313,-0.778625954,-1.58778626,3.007633588,0,0,10021.57005
1.67607E+18,-0.944091797,-0.21484375,-0.071777344,-0.198473282,-1.450381679,3.099236641,0,0,10021.57005
1.67607E+18,-0.953613281,-0.239990234,-0.053710938,0.213740458,-1.290076336,3.328244275,0,0,10021.64019
1.67607E+18,-0.959472656,-0.260742188,-0.03515625,0.396946565,-1.167938931,3.732824427,0,0,10021.65018
1.67607E+18,-0.960449219,-0.270019531,-0.033935547,0.34351145,-1.015267176,4.244274809,0,0,10021.71008
1.67607E+18,-1.065429688,-0.245361328,-0.040771484,0.595419847,-0.488549618,4.916030534,0,0,10021.73005
1.67607E+18,-0.745605469,-0.305664063,0.002929688,-0.328244275,-0.938931298,4.946564885,0,0,10156.61005
